rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
Skipped,3,Skipped,13,11,Skipped,Skipped,Skipped,Skipped,10,7,Skipped,Skipped,Skipped,Skipped,Skipped,12,2,8,4,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,14,Skipped,15,1,6,16,Skipped,9,,
17,26,2,8,35,32,8,24,33,4,1,20,31,11,11,9,8,31,14,20,31,34,12,21,22,5,14,3,31,23,20,15,18,27,25,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,6,12,Skipped,Skipped,Skipped,Skipped,Skipped,15,5,4,6,12,Skipped,Skipped,12,Skipped,6,Skipped,Skipped,15,6,3,2,Skipped,Skipped,6,,
20,1,16,13,15,23,23,22,Skipped,11,21,21,21,17,21,15,16,5,2,8,10,Skipped,Skipped,Skipped,21,7,22,12,Skipped,9,3,4,13,Skipped,6,,
21,1,20,10,15,23,Skipped,Skipped,Skipped,14,13,Skipped,Skipped,12,Skipped,17,Skipped,2,6,8,22,19,Skipped,Skipped,Skipped,5,16,18,Skipped,7,3,4,11,Skipped,9,,
18,8,5,12,21,18,32,29,24,15,1,27,4,13,33,11,16,10,25,2,34,20,26,28,35,12,14,30,31,7,3,6,19,23,9,,
Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,3,Skipped,5,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,1,Skipped,Skipped,2,,
20,1,33,19,14,7,29,15,22,23,13,11,26,6,28,27,25,3,12,4,24,35,31,17,32,9,5,18,16,30,10,2,21,34,8,,
Skipped,5,12,19,8,Skipped,Skipped,Skipped,Skipped,4,14,25,Skipped,20,21,18,7,9,11,13,Skipped,Skipped,24,22,23,10,16,Skipped,15,3,2,1,17,Skipped,6,,
21,2,6,21,Skipped,Skipped,21,15,Skipped,10,12,Skipped,Skipped,21,21,21,21,5,4,3,Skipped,11,21,13,Skipped,14,21,21,Skipped,9,1,8,Skipped,Skipped,7,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,4,3,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,5,Skipped,,
28,18,15,4,11,34,20,32,33,6,16,30,26,21,23,5,3,12,14,17,19,27,25,31,10,2,24,22,29,8,13,7,9,35,1,,
Skipped,1,17,12,11,Skipped,Skipped,21,Skipped,10,14,Skipped,22,18,Skipped,19,23,4,5,8,15,Skipped,Skipped,Skipped,Skipped,6,20,16,Skipped,9,2,3,13,Skipped,7,,
Skipped,21,12,10,Skipped,Skipped,14,22,Skipped,5,4,Skipped,Skipped,7,15,11,13,19,9,1,Skipped,Skipped,17,Skipped,16,3,15,8,Skipped,23,6,2,Skipped,18,Skipped,,
35,1,15,35,11,35,35,13,35,8,15,35,35,35,35,12,35,5,4,9,15,15,35,15,35,6,35,15,35,10,3,2,14,35,7,,
Skipped,2,27,12,6,17,Skipped,25,Skipped,23,13,14,Skipped,8,Skipped,11,22,3,9,5,18,21,30,26,29,16,10,19,28,20,4,1,15,24,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,7,11,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,10,3,2,Skipped,Skipped,8,,
19,8,15,16,13,28,25,34,34,12,6,21,29,11,34,17,23,3,9,5,24,22,27,34,35,4,18,7,34,10,1,2,20,26,14,,
18,2,32,9,11,15,27,33,21,34,12,14,25,8,17,13,29,3,5,6,26,22,23,19,35,7,10,30,16,24,4,1,31,28,20,,
Skipped,1,18,15,6,Skipped,Skipped,Skipped,Skipped,14,2,Skipped,Skipped,24,Skipped,Skipped,Skipped,8,17,9,Skipped,Skipped,Skipped,Skipped,23,11,22,10,Skipped,7,5,4,20,Skipped,3,,
22,3,16,17,14,23,18,4,34,8,9,26,24,29,28,13,27,1,35,10,15,25,30,31,21,6,19,20,32,12,1,5,11,33,7,,
Skipped,7,Skipped,Skipped,15,Skipped,Skipped,19,Skipped,8,5,Skipped,Skipped,Skipped,17,16,9,2,10,6,20,14,Skipped,18,Skipped,4,Skipped,Skipped,Skipped,13,1,11,12,Skipped,3,,
18,4,14,20,7,Skipped,8,Skipped,Skipped,9,17,12,13,26,26,26,21,2,10,19,16,22,26,23,25,5,26,24,Skipped,11,1,3,15,Skipped,6,,
30,4,20,6,18,31,33,17,32,12,15,22,28,7,29,21,24,3,8,2,19,27,34,25,35,9,16,10,23,11,5,1,14,26,13,,
35,1,20,17,13,18,32,27,34,11,14,12,29,9,30,16,24,4,8,5,22,21,31,19,28,7,10,23,26,25,3,2,33,15,6,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,Skipped,,
17,1,11,12,19,Skipped,Skipped,Skipped,Skipped,10,9,18,Skipped,Skipped,14,16,Skipped,5,2,Skipped,13,21,Skipped,Skipped,Skipped,6,Skipped,Skipped,20,8,4,3,15,Skipped,7,,
24,1,30,17,13,27,28,33,34,11,10,16,32,12,22,14,26,3,2,7,19,20,23,21,25,8,9,18,29,33,5,4,15,31,6,,
Skipped,1,Skipped,13,8,Skipped,Skipped,12,Skipped,11,15,Skipped,Skipped,9,Skipped,14,16,5,2,3,12,20,Skipped,12,Skipped,10,17,21,12,6,7,4,19,Skipped,18,,
25,3,11,14,7,29,16,12,28,15,17,18,31,13,31,23,20,1,6,22,21,30,31,27,31,5,24,9,26,8,2,4,19,31,4,,
13,7,23,24,10,Skipped,22,2,Skipped,9,20,11,21,Skipped,24,19,18,8,6,3,5,15,Skipped,Skipped,Skipped,14,17,Skipped,Skipped,16,12,1,25,Skipped,4,,
16,26,1,12,33,35,9,24,34,9,6,20,31,17,10,12,5,28,18,21,32,4,20,23,3,9,14,2,29,25,22,15,13,30,27,,
18,1,17,10,14,26,19,28,35,13,11,16,34,9,31,21,20,3,8,4,24,29,32,23,33,7,12,25,27,15,5,2,22,30,6,,
24,1,31,12,6,23,26,28,Skipped,33,9,14,29,8,27,34,21,4,2,10,20,32,22,25,19,7,11,18,16,15,5,3,17,30,13,,
33,4,14,17,10,32,23,27,35,8,16,26,18,29,30,11,12,6,2,9,25,19,20,26,34,7,31,22,21,13,1,3,15,28,5,,
18,13,21,14,1,16,15,29,32,7,2,25,9,8,28,35,17,5,3,12,27,20,22,33,34,19,6,23,31,24,10,11,26,30,4,,
Skipped,1,Skipped,Skipped,8,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,7,9,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,6,2,4,Skipped,Skipped,5,,
33,3,20,6,8,24,35,29,26,27,16,15,28,13,32,14,30,4,1,9,22,25,19,21,31,7,11,17,34,12,5,2,18,23,10,,
Skipped,1,Skipped,7,8,Skipped,7,Skipped,Skipped,8,Skipped,9,Skipped,Skipped,Skipped,8,Skipped,3,4,5,8,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,6,2,4,Skipped,Skipped,5,,
Skipped,2,3,10,5,Skipped,Skipped,Skipped,Skipped,7,8,Skipped,Skipped,Skipped,11,12,9,1,5,5,Skipped,Skipped,Skipped,10,Skipped,6,Skipped,Skipped,Skipped,10,Skipped,3,Skipped,Skipped,4,,
Skipped,1,17,10,10,Skipped,18,Skipped,Skipped,9,19,Skipped,20,18,20,14,23,3,4,8,17,Skipped,Skipped,Skipped,Skipped,6,13,Skipped,Skipped,7,2,5,Skipped,Skipped,13,,
27,1,21,13,13,28,30,24,35,13,8,35,25,18,26,13,20,2,4,8,17,22,35,23,35,6,13,8,29,6,2,4,19,31,13,,
Skipped,1,7,7,8,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,13,10,Skipped,11,14,2,4,5,Skipped,Skipped,Skipped,Skipped,14,5,12,10,Skipped,5,2,3,9,13,7,,
29,1,19,14,10,34,34,18,30,11,20,22,25,12,21,15,27,3,5,6,17,26,34,18,35,7,23,16,24,8,2,4,13,28,9,,
35,2,20,14,6,11,19,23,18,28,5,30,31,4,32,26,27,1,15,7,21,34,35,29,35,16,10,9,22,24,17,3,25,33,8,,
25,1,19,9,11,22,34,31,32,12,17,15,29,13,24,16,23,3,4,6,20,28,35,26,33,8,14,21,27,10,5,2,18,30,7,,
20,1,22,14,10,32,34,12,35,11,23,24,26,17,29,18,30,5,2,9,19,15,33,13,28,8,25,21,31,6,4,3,16,27,7,,
24,1,18,11,8,17,29,33,31,26,15,10,Skipped,13,32,16,22,2,5,7,20,30,28,23,25,6,12,19,34,14,4,3,21,27,9,,
11,4,Skipped,11,5,Skipped,Skipped,Skipped,18,Skipped,10,17,Skipped,8,14,Skipped,Skipped,3,Skipped,6,9,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,7,1,2,11,Skipped,14,,
Skipped,1,7,12,3,Skipped,21,Skipped,9,10,18,6,Skipped,15,19,Skipped,Skipped,Skipped,8,13,Skipped,Skipped,14,16,22,Skipped,11,17,Skipped,4,2,Skipped,5,Skipped,20,,
Skipped,2,8,Skipped,Skipped,Skipped,Skipped,9,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,7,5,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,1,3,Skipped,Skipped,7,,
30,1,17,19,10,29,31,22,34,11,12,18,25,20,26,14,23,3,5,6,15,24,35,33,27,7,21,13,33,9,2,4,16,28,8,,
18,3,35,13,10,16,28,21,17,20,14,9,30,5,29,12,23,6,4,2,27,32,34,26,33,11,7,22,24,25,8,1,19,31,15,,
Skipped,1,Skipped,11,8,Skipped,35,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,2,6,Skipped,10,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,4,5,Skipped,Skipped,Skipped,,
30,1,12,23,7,31,29,16,25,9,17,26,24,28,18,10,32,4,5,35,Skipped,21,33,13,27,8,22,19,20,11,3,2,34,Skipped,6,,
21,1,12,9,30,35,13,33,30,6,14,19,30,19,20,11,19,30,5,7,30,30,24,32,31,4,19,23,34,10,3,2,8,22,22,,
34,1,19,14,8,17,31,27,21,24,12,15,29,4,18,11,33,3,6,9,26,23,30,16,Skipped,10,7,25,22,13,5,2,32,28,20,,
27,1,9,16,13,34,11,15,32,7,12,32,25,22,23,17,9,5,4,8,20,18,35,33,32,6,26,19,32,24,2,3,21,32,14,,
Skipped,11,9,14,7,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,13,Skipped,8,Skipped,4,5,15,Skipped,Skipped,Skipped,Skipped,Skipped,1,16,12,Skipped,10,3,2,Skipped,Skipped,6,,
Skipped,1,7,9,5,19,Skipped,Skipped,8,10,Skipped,Skipped,Skipped,15,Skipped,14,17,4,Skipped,3,Skipped,16,12,11,Skipped,13,Skipped,18,Skipped,Skipped,2,Skipped,6,Skipped,Skipped,,
28,1,18,19,12,30,33,9,35,5,24,29,26,21,22,11,23,3,8,16,20,13,34,17,32,7,14,31,15,6,2,4,27,25,10,,
24,1,25,12,8,26,32,20,30,19,13,18,23,16,28,15,22,4,5,9,17,31,35,33,29,7,14,21,27,11,2,3,10,34,6,,
Skipped,1,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,3,4,4,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,3,,
28,2,24,11,9,22,34,32,33,16,14,15,25,8,21,13,19,5,3,6,23,17,20,30,35,10,12,18,29,27,4,1,26,31,7,,
Skipped,1,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,9,5,Skipped,Skipped,6,Skipped,13,Skipped,8,3,4,11,Skipped,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,7,2,Skipped,Skipped,12,,
Skipped,1,Skipped,Skipped,6,Skipped,11,Skipped,Skipped,9,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,7,4,Skipped,8,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,5,Skipped,Skipped,10,,
14,26,3,8,Skipped,31,6,24,33,5,1,24,33,9,13,13,4,30,16,24,29,34,13,24,24,8,13,2,28,24,17,16,24,27,25,,
21,1,20,9,7,30,22,29,35,14,31,28,19,32,24,8,23,5,4,12,17,18,25,16,33,6,10,26,15,11,3,2,27,34,13,,
Skipped,1,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,10,12,Skipped,Skipped,Skipped,Skipped,13,Skipped,3,6,5,Skipped,Skipped,Skipped,Skipped,Skipped,7,11,15,Skipped,9,2,4,Skipped,Skipped,8,,
34,3,27,12,9,16,30,25,35,23,20,5,21,6,29,19,28,2,10,8,17,22,31,18,33,14,4,15,13,26,7,1,33,24,11,,
Skipped,1,13,16,11,Skipped,Skipped,Skipped,Skipped,7,10,Skipped,12,Skipped,Skipped,14,15,4,3,9,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,5,2,Skipped,Skipped,6,,
Skipped,1,Skipped,Skipped,19,Skipped,Skipped,2,Skipped,10,8,Skipped,Skipped,13,Skipped,12,Skipped,5,6,7,9,15,Skipped,Skipped,Skipped,16,14,Skipped,Skipped,18,4,3,17,Skipped,11,,
Skipped,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,28,3,9,33,34,9,24,Skipped,9,2,18,31,13,9,9,9,31,18,19,29,32,13,24,1,10,13,14,28,24,24,18,24,28,25,,
30,2,24,25,10,29,35,16,34,20,13,22,21,19,33,11,32,3,5,6,12,27,26,17,31,7,15,18,23,9,4,1,14,28,8,,
20,1,8,15,5,32,27,30,7,12,29,Skipped,Skipped,17,19,22,23,4,3,13,Skipped,31,26,16,26,9,22,18,28,14,2,26,6,21,10,,
27,7,33,8,13,11,35,21,19,25,6,3,28,1,30,24,29,15,17,5,14,26,34,23,32,9,2,10,22,20,16,4,12,31,18,,
Skipped,Skipped,34,34,Skipped,Skipped,34,Skipped,Skipped,34,34,Skipped,Skipped,34,34,34,34,Skipped,Skipped,1,Skipped,Skipped,34,Skipped,Skipped,35,34,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
25,21,3,22,6,11,32,33,27,5,17,23,18,28,13,9,10,1,12,8,24,16,35,15,29,4,26,30,31,14,2,20,19,34,7,,
19,Skipped,1,19,35,Skipped,19,Skipped,Skipped,19,3,19,Skipped,19,19,19,19,Skipped,19,Skipped,Skipped,4,19,22,2,19,19,19,Skipped,20,19,19,21,Skipped,Skipped,,
27,27,3,7,Skipped,32,9,27,33,6,2,27,31,10,9,11,6,28,27,27,31,34,12,27,27,6,13,1,27,27,27,14,27,31,27,,
Skipped,2,Skipped,Skipped,7,Skipped,Skipped,10,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,5,4,14,Skipped,Skipped,Skipped,13,Skipped,6,8,Skipped,Skipped,Skipped,1,3,15,Skipped,9,,
27,9,17,12,16,23,30,21,25,13,8,19,20,5,18,14,24,11,3,7,15,26,34,33,22,2,35,29,33,6,10,1,4,28,33,,
27,1,13,15,8,29,33,22,35,10,19,34,17,32,30,26,16,6,2,9,14,20,31,28,24,5,18,12,25,11,4,3,21,23,7,,
23,1,16,17,12,11,18,34,34,9,21,34,34,21,20,13,19,5,2,10,34,34,22,34,34,6,24,15,34,7,4,3,34,14,8,,
30,30,2,30,34,31,4,30,34,3,30,30,34,30,30,30,5,30,30,30,35,34,30,30,30,2,30,30,30,30,30,30,30,30,30,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,15,20,11,Skipped,26,8,33,6,21,Skipped,Skipped,10,Skipped,25,27,3,9,5,14,Skipped,22,12,23,17,19,Skipped,18,13,4,2,16,22,7,,
29,1,11,19,15,Skipped,29,15,Skipped,13,10,22,Skipped,23,Skipped,14,21,4,8,4,Skipped,Skipped,29,15,29,7,20,29,15,6,2,2,12,Skipped,9,,
3,1,5,5,Skipped,Skipped,5,3,33,2,Skipped,25,Skipped,8,Skipped,6,3,1,1,2,7,3,Skipped,4,5,3,Skipped,4,4,7,1,1,4,6,1,,
28,1,19,12,15,27,35,11,34,10,13,16,29,31,26,23,14,4,5,6,17,22,35,25,30,7,21,20,29,9,2,3,18,24,8,,
25,1,16,18,19,28,29,10,33,7,12,24,26,30,22,20,14,6,4,11,31,15,34,23,27,5,13,21,23,8,3,2,17,32,9,,
Skipped,2,9,15,16,21,Skipped,Skipped,17,11,7,20,18,6,Skipped,12,22,3,19,1,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,13,Skipped,14,4,5,8,Skipped,23,,
Skipped,1,5,6,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,3,7,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,10,,
15,22,17,8,Skipped,29,14,16,Skipped,20,6,21,3,7,10,28,18,2,1,5,4,Skipped,12,25,23,13,27,11,Skipped,25,21,19,9,Skipped,30,,
20,2,16,19,11,31,35,8,32,14,25,28,29,18,27,17,7,3,5,10,9,24,34,13,33,15,26,22,31,12,1,4,23,21,6,,
22,25,6,7,9,31,15,26,34,14,10,5,33,4,18,17,13,21,19,8,30,35,20,32,27,16,12,23,28,2,29,1,24,11,3,,
Skipped,2,Skipped,Skipped,13,Skipped,Skipped,12,Skipped,14,15,Skipped,Skipped,Skipped,Skipped,8,Skipped,3,6,5,Skipped,16,Skipped,Skipped,Skipped,7,17,9,Skipped,Skipped,1,5,11,Skipped,10,,
24,5,13,14,9,Skipped,Skipped,20,Skipped,16,10,19,Skipped,18,Skipped,12,Skipped,4,6,3,25,23,Skipped,21,Skipped,7,22,17,Skipped,11,2,1,15,Skipped,8,,
Skipped,2,Skipped,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,12,Skipped,10,5,6,Skipped,11,3,,
29,1,18,10,8,28,24,34,Skipped,17,11,16,30,13,23,15,25,3,4,6,21,27,31,33,32,7,14,19,26,9,5,2,20,22,12,,
21,1,12,18,22,26,32,20,35,9,23,17,10,28,24,19,25,5,4,15,14,11,31,29,16,6,27,33,34,8,3,2,13,30,7,,
17,7,17,27,13,30,26,16,33,9,11,17,27,16,28,14,12,1,8,6,27,22,35,25,35,5,24,15,23,9,1,3,17,28,9,,
23,1,15,14,13,34,32,26,31,12,10,30,22,16,25,17,21,6,3,5,20,24,33,27,35,9,19,11,28,7,2,4,18,29,8,,
20,1,8,12,4,19,Skipped,14,6,11,23,Skipped,21,25,Skipped,Skipped,24,3,15,7,21,22,35,18,26,Skipped,Skipped,13,17,10,2,Skipped,5,27,9,,
4,1,16,8,11,19,33,18,Skipped,20,18,20,18,8,Skipped,14,15,6,2,9,10,Skipped,Skipped,18,Skipped,7,18,17,18,12,3,5,13,17,12,,
18,1,10,14,9,19,Skipped,Skipped,Skipped,16,11,13,Skipped,Skipped,Skipped,17,Skipped,3,6,5,12,Skipped,Skipped,Skipped,20,8,Skipped,15,Skipped,10,2,4,Skipped,Skipped,7,,
Skipped,Skipped,22,17,14,Skipped,23,Skipped,Skipped,16,20,19,15,10,25,18,21,1,8,6,5,12,Skipped,Skipped,24,3,13,Skipped,Skipped,9,2,4,7,Skipped,11,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
29,1,19,12,16,34,35,26,30,10,8,21,23,20,15,13,25,5,2,7,18,22,28,27,33,6,17,26,31,9,4,3,14,24,11,,
25,1,34,11,14,10,27,23,29,20,15,17,31,9,24,16,32,3,5,4,22,21,30,28,35,12,8,18,26,13,6,2,19,33,7,,
33,2,20,11,6,16,21,26,32,14,9,13,31,10,29,17,27,4,3,5,18,24,Skipped,25,Skipped,8,7,19,30,22,12,1,28,23,15,,
28,3,35,10,6,13,25,27,20,26,15,12,33,7,24,17,22,2,8,5,16,23,32,21,31,11,9,18,14,34,4,1,29,30,19,,
Skipped,2,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,3,8,Skipped,Skipped,10,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,10,,
5,1,4,3,4,6,6,4,6,3,3,5,4,5,5,3,5,2,2,2,5,4,6,4,6,1,4,3,6,3,1,1,5,6,3,,
26,1,23,22,12,33,34,20,33,8,16,17,33,25,24,14,11,4,7,5,21,18,27,19,33,6,13,15,33,9,3,2,33,33,10,,
Skipped,20,34,31,18,5,Skipped,Skipped,21,35,Skipped,11,21,2,Skipped,22,35,17,15,Skipped,35,Skipped,Skipped,Skipped,Skipped,Skipped,1,30,Skipped,4,6,4,Skipped,32,15,,
20,17,9,12,34,35,11,29,31,16,1,20,32,13,14,10,21,29,4,8,30,33,20,29,29,3,20,20,29,2,5,7,15,29,6,,
12,9,Skipped,4,18,Skipped,Skipped,Skipped,Skipped,3,16,6,10,Skipped,Skipped,Skipped,Skipped,5,Skipped,15,11,19,Skipped,20,14,2,17,Skipped,21,Skipped,8,7,13,Skipped,1,,
30,2,17,12,14,22,25,27,Skipped,15,13,11,Skipped,8,32,16,18,3,5,9,20,24,28,31,Skipped,6,10,21,29,23,4,1,19,26,7,,
17,1,24,15,9,11,35,25,14,32,16,10,28,4,31,18,33,5,7,3,19,29,34,26,30,12,6,20,21,23,8,2,22,27,13,,
14,21,19,5,28,34,2,23,32,22,4,18,31,6,7,3,8,25,10,17,34,33,9,24,20,1,13,11,26,27,16,12,15,30,29,,
27,13,23,15,11,10,16,29,17,24,12,9,34,6,20,14,26,2,4,5,18,28,25,30,33,7,8,21,31,35,3,1,32,19,22,,
25,1,18,12,8,32,35,20,34,17,10,13,29,5,22,19,33,3,6,7,15,28,27,21,24,11,9,16,31,26,4,2,23,30,14,,
13,5,16,12,2,Skipped,Skipped,17,Skipped,10,13,22,Skipped,6,18,10,12,7,8,12,Skipped,Skipped,35,17,34,10,20,21,Skipped,Skipped,5,9,17,16,1,,
27,3,21,17,14,25,Skipped,Skipped,Skipped,11,8,24,Skipped,18,Skipped,23,28,2,5,7,12,22,Skipped,16,26,6,20,13,15,9,1,4,19,Skipped,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
13,7,12,Skipped,9,Skipped,Skipped,Skipped,Skipped,11,15,Skipped,Skipped,Skipped,Skipped,8,Skipped,3,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,5,2,14,Skipped,6,,
6,1,3,3,3,6,5,5,6,3,4,6,5,4,6,3,6,1,1,2,7,5,6,5,6,2,6,4,5,3,1,1,4,6,2,,
Skipped,1,18,Skipped,15,Skipped,Skipped,Skipped,Skipped,10,12,16,31,7,22,20,Skipped,5,4,3,9,Skipped,Skipped,Skipped,Skipped,8,21,17,Skipped,13,6,2,19,31,14,,
22,1,26,18,10,33,29,24,Skipped,12,11,16,Skipped,9,Skipped,15,20,2,8,6,17,30,Skipped,23,28,5,13,19,27,14,4,3,25,21,7,,
28,1,17,8,19,27,30,18,32,12,24,29,25,9,33,20,31,3,5,6,13,26,34,21,35,7,14,15,22,10,4,2,16,23,11,,
21,2,4,9,11,18,Skipped,Skipped,17,4,11,19,21,10,Skipped,12,4,3,7,8,15,Skipped,Skipped,Skipped,Skipped,6,14,20,Skipped,5,4,1,13,16,9,,
Skipped,2,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,1,8,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,9,5,7,Skipped,Skipped,3,,
27,1,15,21,12,26,33,17,29,10,13,31,28,22,24,16,19,5,4,6,11,14,35,23,34,7,25,18,30,9,2,3,20,32,8,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,,
34,2,34,34,Skipped,Skipped,34,Skipped,Skipped,34,34,Skipped,Skipped,34,34,34,34,1,34,1,Skipped,Skipped,34,Skipped,Skipped,35,34,34,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,8,7,Skipped,Skipped,Skipped,Skipped,6,8,Skipped,Skipped,8,Skipped,7,Skipped,3,2,5,9,Skipped,Skipped,Skipped,Skipped,4,9,10,Skipped,4,2,2,Skipped,Skipped,7,,
Skipped,3,Skipped,16,8,35,Skipped,Skipped,34,14,12,Skipped,33,8,Skipped,8,Skipped,3,2,13,Skipped,20,Skipped,Skipped,Skipped,6,20,14,Skipped,6,1,3,17,Skipped,8,,
