rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,Num Cands,Num Seats
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
37,20,17,31,38,22,29,28,5,15,13,32,27,18,33,2,21,35,12,8,34,6,10,4,3,24,14,25,26,36,19,11,16,30,1,7,23,9,,
2,12,25,12,1,17,34,22,16,30,16,22,22,13,27,29,37,12,12,5,26,22,31,12,23,22,6,36,27,12,25,4,33,12,32,35,Skipped,4,,
Skipped,Skipped,17,17,6,17,Skipped,17,Skipped,Skipped,4,17,3,Skipped,17,Skipped,17,17,Skipped,17,Skipped,Skipped,17,5,18,17,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,17,Skipped,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,10,Skipped,7,Skipped,Skipped,Skipped,Skipped,3,8,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
26,8,Skipped,15,27,23,21,22,Skipped,Skipped,Skipped,24,12,Skipped,28,6,16,5,18,17,38,27,10,11,1,3,19,7,14,Skipped,25,2,20,Skipped,9,4,13,Skipped,,
4,12,30,13,5,26,29,28,27,16,25,38,19,32,34,1,21,17,7,15,36,23,22,14,3,20,8,10,18,35,33,2,31,24,9,6,11,37,,
Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,Skipped,30,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,22,29,Skipped,4,Skipped,Skipped,Skipped,20,1,Skipped,Skipped,Skipped,28,Skipped,Skipped,,
8,23,22,34,2,18,11,13,31,26,28,38,16,17,36,5,21,10,24,29,37,3,35,33,14,25,9,12,7,27,32,19,20,15,4,6,1,30,,
2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
13,14,19,27,11,35,34,33,12,Skipped,10,7,23,2,26,1,31,16,28,17,24,30,32,25,8,9,5,18,20,Skipped,22,3,4,29,15,6,21,Skipped,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,25,Skipped,9,4,Skipped,Skipped,15,3,Skipped,13,36,17,34,33,5,Skipped,Skipped,14,10,26,24,Skipped,18,1,Skipped,6,16,Skipped,38,29,2,30,Skipped,12,8,11,37,,
Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,10,Skipped,Skipped,7,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,9,3,Skipped,1,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,38,6,Skipped,Skipped,,
12,9,Skipped,11,7,Skipped,16,24,3,Skipped,19,20,8,14,23,1,Skipped,Skipped,18,22,21,Skipped,15,17,6,4,25,Skipped,Skipped,Skipped,10,2,Skipped,Skipped,Skipped,5,13,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
32,5,32,2,10,32,32,32,32,32,32,37,32,6,32,32,32,32,35,36,38,32,32,33,1,32,34,9,32,32,4,3,32,32,32,8,7,32,,
28,17,10,5,1,37,35,36,2,26,16,11,29,21,3,13,25,Skipped,12,24,19,27,20,4,6,8,15,22,23,33,31,7,9,Skipped,14,18,30,32,,
8,17,4,6,29,23,21,22,18,27,33,38,12,26,30,5,7,9,32,36,10,1,31,16,2,28,11,14,28,20,37,13,15,24,25,3,34,19,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,5,6,Skipped,,
21,15,33,5,24,30,31,27,11,23,17,38,25,10,35,2,26,28,18,22,37,6,19,12,1,20,8,9,14,36,29,3,32,16,7,4,13,34,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,9,10,36,38,16,Skipped,6,1,15,Skipped,8,12,Skipped,11,17,7,3,14,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,5,37,13,Skipped,,
20,26,Skipped,15,Skipped,26,Skipped,Skipped,26,Skipped,3,11,Skipped,9,5,7,21,Skipped,10,16,17,26,13,12,4,Skipped,1,Skipped,20,Skipped,14,6,20,26,8,2,27,Skipped,,
8,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,7,Skipped,6,20,Skipped,10,15,1,Skipped,Skipped,11,3,2,Skipped,12,18,4,9,14,Skipped,Skipped,Skipped,17,16,Skipped,Skipped,13,5,Skipped,Skipped,,
11,5,24,29,1,32,31,33,21,17,34,26,18,4,25,2,12,14,3,23,38,10,19,27,20,6,37,8,7,36,13,28,22,30,15,16,9,35,,
15,35,16,11,32,32,20,35,15,15,13,19,15,8,36,1,15,20,2,14,38,35,10,12,7,17,6,32,32,15,21,4,32,5,3,9,33,35,,
3,31,15,Skipped,33,38,Skipped,38,4,32,36,38,14,8,30,Skipped,9,31,34,17,31,Skipped,35,Skipped,2,31,4,11,30,30,Skipped,2,11,Skipped,1,12,6,37,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,Skipped,14,1,22,Skipped,27,20,Skipped,19,29,11,10,24,3,23,Skipped,16,12,9,26,25,21,13,15,6,17,Skipped,Skipped,7,4,28,Skipped,18,8,5,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,15,23,2,16,30,33,28,20,34,7,17,11,5,29,4,32,26,13,6,25,34,34,9,12,22,18,24,34,14,10,1,34,31,19,27,21,8,,
3,16,31,9,6,31,23,26,18,30,8,14,10,17,29,1,Skipped,Skipped,21,13,28,Skipped,20,11,7,12,19,27,Skipped,Skipped,15,2,Skipped,25,5,4,24,22,,
Skipped,Skipped,Skipped,7,4,Skipped,Skipped,Skipped,10,Skipped,Skipped,15,Skipped,6,Skipped,1,14,Skipped,Skipped,11,Skipped,9,16,Skipped,2,8,Skipped,Skipped,Skipped,Skipped,13,3,Skipped,Skipped,12,5,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,10,Skipped,11,12,Skipped,9,Skipped,Skipped,Skipped,Skipped,5,6,Skipped,Skipped,Skipped,7,2,Skipped,8,Skipped,Skipped,Skipped,13,4,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
26,33,22,24,23,2,4,3,20,34,21,5,35,35,13,37,25,14,21,17,1,19,20,30,36,25,15,30,37,8,27,22,16,22,25,37,34,18,,
1,18,21,8,2,32,30,31,15,10,17,14,19,5,20,3,Skipped,Skipped,28,22,26,Skipped,27,11,4,23,Skipped,24,Skipped,Skipped,9,13,25,16,7,12,6,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,1,Skipped,37,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,Skipped,10,Skipped,Skipped,Skipped,Skipped,,
23,18,13,4,12,31,29,27,15,14,20,38,17,24,34,16,11,19,8,26,37,2,33,35,3,10,22,9,5,36,21,1,32,30,7,6,25,28,,
18,12,27,12,14,37,35,33,3,16,3,38,19,10,30,24,28,23,17,20,4,15,32,29,13,31,5,6,22,36,25,8,26,11,21,7,1,34,,
7,21,Skipped,11,8,Skipped,Skipped,Skipped,9,6,Skipped,22,12,5,19,1,Skipped,20,16,3,23,24,14,15,21,17,Skipped,Skipped,13,Skipped,10,18,Skipped,Skipped,2,4,Skipped,Skipped,,
Skipped,Skipped,9,5,Skipped,Skipped,Skipped,Skipped,10,Skipped,7,Skipped,Skipped,1,Skipped,Skipped,8,Skipped,Skipped,11,Skipped,6,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,8,24,4,1,34,17,12,11,26,Skipped,29,16,2,32,18,20,21,30,25,14,13,33,15,37,28,10,22,7,35,27,6,23,Skipped,5,3,31,19,,
3,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,6,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,1,Skipped,Skipped,,
21,9,30,35,14,27,25,26,1,2,28,37,15,4,36,5,7,11,16,31,29,23,32,12,6,18,17,22,10,34,20,3,24,Skipped,8,19,13,33,,
Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,Skipped,6,Skipped,Skipped,4,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,3,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
3,18,15,Skipped,2,26,10,5,Skipped,9,Skipped,20,28,Skipped,27,24,Skipped,16,21,Skipped,4,Skipped,6,Skipped,23,19,1,11,17,25,8,Skipped,12,Skipped,13,7,14,22,,
12,Skipped,Skipped,14,5,Skipped,Skipped,Skipped,1,Skipped,9,13,Skipped,15,Skipped,Skipped,Skipped,Skipped,8,3,Skipped,4,Skipped,7,11,Skipped,Skipped,Skipped,Skipped,Skipped,10,2,Skipped,6,Skipped,Skipped,Skipped,Skipped,,
13,31,16,8,37,33,16,30,12,32,10,36,16,6,17,1,34,16,16,38,23,7,35,15,4,22,11,30,22,22,9,3,32,14,5,2,30,22,,
15,18,10,21,2,30,31,29,9,5,24,33,26,8,35,4,3,32,13,28,38,14,25,22,1,23,7,17,27,36,34,12,11,Skipped,16,19,6,20,,
9,22,31,11,26,35,28,30,7,8,34,18,27,19,37,1,4,23,16,13,38,25,33,6,14,5,20,15,29,32,24,3,21,12,17,2,10,36,,
8,6,Skipped,33,Skipped,33,33,33,33,33,9,33,34,33,33,33,33,6,33,33,38,33,33,38,33,33,33,6,8,6,33,4,6,10,33,33,33,Skipped,,
1,19,Skipped,18,3,27,27,27,10,5,26,33,20,10,33,1,8,21,10,10,33,24,33,17,7,25,Skipped,10,22,Skipped,10,9,Skipped,23,10,6,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,27,34,4,14,29,12,13,10,20,8,36,3,6,25,31,30,26,35,19,38,9,15,22,1,18,7,5,21,32,16,11,28,17,24,2,23,37,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
38,4,Skipped,21,5,Skipped,Skipped,Skipped,Skipped,Skipped,17,10,8,Skipped,16,3,Skipped,15,Skipped,37,9,2,23,12,36,Skipped,11,1,14,35,Skipped,7,Skipped,Skipped,6,13,25,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,10,3,Skipped,Skipped,15,6,7,20,24,12,21,23,4,Skipped,Skipped,18,17,25,8,22,19,5,13,14,Skipped,9,Skipped,16,2,Skipped,Skipped,Skipped,11,1,Skipped,,
15,31,13,32,Skipped,30,8,23,27,18,24,33,4,6,17,1,11,10,14,23,16,5,Skipped,28,3,9,23,33,7,25,29,12,33,23,19,2,23,33,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,34,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,Skipped,3,Skipped,Skipped,Skipped,10,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,Skipped,Skipped,9,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,Skipped,,
14,1,8,22,2,Skipped,34,33,11,5,30,18,32,28,19,21,25,26,15,16,36,12,24,17,13,23,7,31,9,35,20,27,4,37,10,3,6,29,,
Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,3,Skipped,10,Skipped,Skipped,8,Skipped,1,Skipped,Skipped,7,12,6,14,Skipped,15,9,Skipped,5,13,Skipped,Skipped,16,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
11,Skipped,Skipped,6,5,Skipped,Skipped,Skipped,8,14,15,Skipped,Skipped,10,20,1,Skipped,Skipped,19,9,21,Skipped,16,17,4,13,7,Skipped,Skipped,Skipped,12,3,Skipped,23,18,2,Skipped,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,10,Skipped,33,8,17,17,12,Skipped,4,5,22,19,33,14,1,28,24,21,33,20,6,34,27,25,35,13,9,33,23,33,26,15,Skipped,2,7,11,15,,
Skipped,16,Skipped,8,1,Skipped,Skipped,Skipped,13,12,18,Skipped,7,3,11,4,Skipped,19,6,14,22,15,Skipped,9,Skipped,Skipped,Skipped,20,21,Skipped,10,2,Skipped,Skipped,Skipped,5,17,Skipped,,
2,5,25,18,8,37,29,16,21,7,15,38,22,13,30,1,23,35,19,26,34,27,36,31,4,12,20,9,17,32,28,3,24,Skipped,10,11,6,33,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,10,Skipped,7,3,Skipped,Skipped,Skipped,14,Skipped,9,25,8,21,Skipped,6,Skipped,Skipped,22,13,Skipped,18,23,2,5,20,17,19,16,24,15,11,Skipped,Skipped,Skipped,4,1,12,,
6,14,23,2,15,Skipped,Skipped,Skipped,10,8,22,19,7,11,Skipped,Skipped,Skipped,26,20,13,17,3,Skipped,18,4,Skipped,12,16,27,28,9,1,25,21,Skipped,5,24,29,,
18,18,18,Skipped,Skipped,Skipped,Skipped,18,3,19,18,28,Skipped,18,18,1,18,Skipped,18,18,18,2,28,28,6,18,4,7,Skipped,Skipped,18,10,18,18,18,5,28,Skipped,,
Skipped,9,Skipped,7,Skipped,Skipped,Skipped,Skipped,3,Skipped,17,20,Skipped,12,14,1,Skipped,Skipped,11,8,Skipped,16,18,13,4,19,5,Skipped,Skipped,Skipped,15,2,Skipped,Skipped,Skipped,6,10,Skipped,,
3,11,21,23,7,Skipped,Skipped,Skipped,5,Skipped,25,Skipped,19,18,12,1,Skipped,16,Skipped,24,26,10,27,22,Skipped,4,2,8,17,Skipped,13,14,20,Skipped,6,9,15,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,6,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,8,,
16,2,14,37,30,28,15,32,10,22,7,24,26,8,29,19,25,17,13,6,33,1,36,38,9,35,3,5,23,21,32,4,20,34,27,8,12,18,,
5,18,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,38,13,Skipped,Skipped,Skipped,4,20,6,2,Skipped,Skipped,Skipped,1,3,Skipped,9,10,11,37,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,27,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,38,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,11,Skipped,8,Skipped,12,Skipped,Skipped,5,Skipped,Skipped,Skipped,6,7,Skipped,Skipped,Skipped,4,10,Skipped,,
10,16,29,12,13,32,33,15,9,7,38,37,18,21,32,2,23,22,25,28,27,3,36,8,14,19,24,17,20,35,31,1,30,4,11,26,5,34,,
20,20,28,Skipped,9,28,28,20,9,28,20,2,11,28,28,9,9,29,Skipped,9,20,Skipped,Skipped,3,21,9,Skipped,20,11,Skipped,Skipped,1,12,20,Skipped,28,9,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
22,Skipped,22,21,17,22,Skipped,Skipped,Skipped,3,19,10,5,1,Skipped,2,16,8,Skipped,Skipped,13,11,4,12,20,18,22,7,9,Skipped,Skipped,Skipped,15,Skipped,Skipped,6,14,Skipped,,
14,16,7,17,26,32,31,30,15,22,35,36,5,20,37,2,11,27,18,24,34,3,9,29,23,19,28,4,12,33,8,1,25,21,6,10,13,Skipped,,
Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,10,Skipped,5,7,Skipped,13,Skipped,Skipped,Skipped,Skipped,11,1,Skipped,Skipped,Skipped,8,6,Skipped,3,Skipped,Skipped,Skipped,12,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
29,29,29,29,29,29,Skipped,29,1,Skipped,29,29,29,29,29,2,Skipped,29,29,29,29,29,29,29,29,29,Skipped,30,Skipped,29,Skipped,29,29,29,Skipped,29,Skipped,29,,
Skipped,16,Skipped,5,Skipped,22,20,23,17,Skipped,12,7,Skipped,18,8,1,6,Skipped,14,9,4,Skipped,10,15,19,11,3,Skipped,Skipped,Skipped,21,2,Skipped,Skipped,13,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,10,Skipped,20,7,22,30,8,16,2,Skipped,29,13,21,24,17,Skipped,28,18,Skipped,25,Skipped,26,23,11,9,12,3,14,27,19,Skipped,Skipped,Skipped,4,1,6,15,,
13,8,Skipped,17,1,Skipped,Skipped,10,3,Skipped,Skipped,Skipped,15,Skipped,Skipped,5,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,2,16,4,Skipped,Skipped,9,Skipped,Skipped,12,7,6,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,Skipped,28,7,2,22,24,14,35,29,29,36,20,26,23,1,19,33,16,9,10,Skipped,18,21,29,19,8,6,25,3,11,13,15,35,32,4,27,12,,
9,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,11,37,1,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,6,Skipped,38,Skipped,Skipped,Skipped,Skipped,Skipped,3,10,Skipped,,
6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
13,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,6,14,7,21,Skipped,15,22,4,Skipped,Skipped,20,18,11,Skipped,9,12,19,10,5,Skipped,Skipped,Skipped,17,2,Skipped,8,3,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,6,8,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,15,2,Skipped,16,Skipped,Skipped,20,22,24,5,7,25,3,Skipped,Skipped,12,18,21,Skipped,11,9,13,10,4,23,Skipped,Skipped,19,14,Skipped,Skipped,6,17,8,Skipped,,
