rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
80,17,43,59,43,15,40,62,80,16,41,40,80,80,52,40,59,80,40,40,80,40,59,59,80,59,5,8,7,63,46,59,1,62,40,80,80,40,40,40,40,40,40,40,80,22,20,11,44,80,43,80,40,19,80,59,3,42,80,40,51,13,40,80,40,4,18,14,9,47,21,10,80,80,1,59,40,12,6,46,,
80,80,80,4,80,10,80,80,80,16,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,19,7,80,80,80,80,18,80,80,80,80,80,80,80,80,80,80,80,80,13,80,12,80,14,80,80,80,9,80,80,5,6,80,80,80,80,80,80,80,1,80,17,3,80,80,80,80,11,2,80,80,15,8,80,,
80,17,80,15,80,80,80,80,80,23,80,80,80,80,80,80,80,80,80,80,80,80,21,80,80,80,14,10,11,80,80,8,16,80,80,80,80,80,80,80,80,80,80,80,22,80,19,9,80,80,80,80,80,18,80,80,7,80,80,80,80,5,80,80,80,3,12,13,2,80,80,80,80,20,4,80,80,1,6,80,,
6,80,80,80,80,8,80,80,80,15,80,7,80,80,12,17,80,80,80,80,5,10,80,80,80,80,19,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,20,80,80,9,80,80,80,16,13,80,80,80,80,80,80,80,1,80,18,3,80,80,11,80,80,1,80,80,14,4,80,,
41,57,55,22,27,9,71,56,34,25,15,38,31,53,34,Skipped,Skipped,54,30,Skipped,70,42,24,60,38,70,12,4,31,36,44,52,21,Skipped,42,Skipped,69,37,6,51,62,64,35,39,8,29,10,20,47,17,50,39,68,26,32,61,23,13,48,38,58,11,33,53,41,2,16,18,1,48,36,19,72,14,3,28,37,7,5,40,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,,
80,80,80,80,22,22,80,80,80,19,7,80,80,80,80,71,80,80,80,80,80,16,80,80,80,80,80,80,80,80,5,80,80,80,33,80,80,80,5,80,80,80,80,80,80,20,6,6,80,80,80,80,17,12,80,80,11,1,80,21,80,24,80,80,14,3,8,80,18,80,80,80,80,34,12,80,80,2,9,80,,
59,25,15,69,55,30,53,73,57,9,13,33,8,79,74,50,80,68,50,40,63,16,64,71,67,64,31,44,19,61,32,12,49,56,48,79,70,72,39,53,37,35,21,36,62,51,6,24,18,11,58,42,23,19,5,64,2,3,79,53,7,10,41,75,43,9,19,38,14,22,69,34,54,1,17,60,20,23,4,48,,
4,5,40,20,20,50,Skipped,40,30,25,Skipped,30,Skipped,Skipped,50,20,Skipped,Skipped,Skipped,Skipped,30,25,25,35,30,Skipped,12,8,27,Skipped,29,30,15,Skipped,Skipped,Skipped,50,41,16,14,20,20,Skipped,20,23,22,40,1,35,Skipped,28,30,7,10,37,Skipped,22,11,30,3,Skipped,2,40,Skipped,Skipped,9,13,8,15,Skipped,20,45,Skipped,30,11,Skipped,35,10,6,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,,
15,6,80,12,24,39,42,43,80,40,4,80,80,80,29,80,80,80,80,80,80,27,14,80,37,80,34,16,80,80,80,30,20,80,5,80,80,80,11,80,80,80,35,80,38,9,3,33,28,7,80,80,36,23,32,80,25,18,18,19,80,41,80,80,80,1,22,31,1,80,13,17,80,8,2,26,80,3,10,80,,
75,40,80,12,73,20,80,80,80,70,80,75,80,80,66,80,80,80,80,80,65,45,75,80,80,80,38,78,52,80,80,78,60,80,75,80,80,80,70,65,80,80,80,80,66,80,67,55,75,50,80,48,78,75,80,80,60,70,80,65,80,60,75,80,80,6,40,10,1,80,38,70,80,70,7,80,80,5,8,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,,
13,17,60,63,38,48,47,23,52,24,53,43,5,72,66,68,72,41,11,57,32,13,51,64,56,67,22,39,19,65,36,18,37,72,62,67,70,29,35,42,21,12,26,58,33,3,2,34,28,27,71,30,14,55,6,50,25,8,61,59,33,40,44,16,54,7,46,49,9,10,29,20,66,1,4,69,33,15,31,45,,
6,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,7,80,80,80,80,80,80,80,1,80,2,80,80,80,7,80,80,1,80,80,80,80,80,4,80,80,6,80,80,,
10,80,10,80,80,80,80,80,80,80,80,80,25,80,80,80,80,5,80,80,80,25,80,80,80,80,5,35,5,80,80,10,80,80,80,80,80,80,30,80,25,25,35,25,80,20,20,10,5,30,80,80,20,30,20,80,15,3,80,80,3,3,80,80,30,1,20,5,3,10,10,10,80,10,20,80,80,5,10,80,,
80,10,80,80,80,21,80,80,80,20,Skipped,80,80,80,80,80,80,80,80,80,18,12,80,80,80,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,8,80,80,80,80,7,4,80,15,80,80,80,80,80,80,80,80,2,80,80,80,5,19,80,80,1,16,80,13,80,6,80,80,17,9,80,80,3,14,80,,
80,80,80,80,80,80,80,80,80,80,80,80,19,80,80,80,80,80,80,80,80,16,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,18,17,15,20,14,80,80,80,8,80,80,9,1,80,80,11,7,80,80,80,3,12,80,2,80,80,80,80,6,4,80,80,13,5,80,,
80,80,80,80,80,5,80,80,80,17,80,80,80,80,80,80,80,80,80,80,80,80,13,80,80,80,9,80,11,19,80,12,80,80,80,80,80,80,80,80,80,80,80,80,15,18,80,80,80,80,80,80,80,20,80,80,2,80,80,8,80,6,80,80,80,1,4,80,3,80,80,10,80,80,14,80,80,16,7,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,61,19,Skipped,Skipped,30,Skipped,Skipped,15,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,67,Skipped,Skipped,Skipped,Skipped,25,43,77,Skipped,Skipped,28,17,20,6,Skipped,12,Skipped,Skipped,50,Skipped,Skipped,Skipped,35,Skipped,Skipped,Skipped,Skipped,76,Skipped,78,Skipped,36,5,14,57,Skipped,63,27,68,23,48,8,9,7,47,4,45,Skipped,Skipped,3,70,13,11,Skipped,24,18,Skipped,Skipped,1,Skipped,Skipped,2,16,Skipped,,
19,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,18,80,80,80,17,6,80,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,13,10,80,1,80,20,80,80,80,80,80,80,14,80,80,12,80,15,80,80,80,2,16,7,8,80,80,80,80,80,10,80,80,9,4,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
22,18,18,3,15,18,33,35,32,17,25,20,35,7,16,6,18,35,25,35,21,18,24,27,35,40,18,4,11,24,25,34,20,36,34,35,30,37,18,24,27,25,12,27,17,21,10,23,26,24,29,32,14,5,24,18,9,16,31,8,18,24,18,21,28,2,13,15,1,38,25,18,35,11,3,39,32,4,14,19,,
70,70,70,70,70,70,70,70,70,70,70,70,80,70,80,70,70,71,10,70,80,70,70,70,9,70,70,70,70,80,70,70,70,70,70,80,80,70,70,70,70,70,70,70,70,70,12,70,70,6,70,70,70,70,70,70,5,2,70,70,70,70,70,70,70,7,70,70,3,70,70,70,80,4,1,70,70,8,11,70,,
4,15,80,80,13,13,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,11,80,80,80,80,9,16,80,80,10,80,5,80,80,80,80,80,9,80,80,80,13,80,80,80,80,8,80,10,80,80,4,15,80,80,3,80,80,9,80,15,80,80,80,4,80,12,4,80,80,10,80,5,3,80,80,10,3,80,,
80,80,15,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,14,10,18,80,80,80,80,80,80,22,8,24,9,80,80,80,80,80,80,80,80,1,12,3,24,80,80,29,80,16,4,80,80,11,7,80,80,5,1,80,80,3,6,80,13,20,80,80,80,80,80,26,80,31,2,39,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
53,21,38,34,46,28,61,80,80,48,16,27,50,80,54,80,40,56,32,80,55,20,23,39,51,57,4,47,11,80,43,15,80,80,37,59,80,58,29,45,44,30,13,33,80,24,9,12,52,7,80,49,36,22,10,80,17,2,80,60,42,6,80,80,80,3,25,26,5,41,8,31,80,18,1,80,35,19,14,80,,
49,35,79,21,44,26,70,77,18,39,53,29,58,19,56,61,12,78,43,54,59,48,36,14,57,76,10,9,17,50,45,2,31,80,60,73,68,71,27,63,62,69,5,32,55,66,38,41,16,37,46,22,74,34,52,11,24,40,67,6,64,8,30,23,72,13,42,3,20,15,33,4,51,47,25,75,4,1,7,28,,
80,80,80,80,80,80,80,80,80,80,80,80,80,Skipped,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,Skipped,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
19,40,40,19,19,19,59,40,59,19,40,40,12,59,40,40,Skipped,40,19,Skipped,7,40,59,40,68,Skipped,19,7,40,68,19,19,19,Skipped,59,Skipped,12,12,19,40,19,59,19,19,Skipped,12,40,1,40,40,40,Skipped,40,19,12,Skipped,7,1,59,19,19,1,19,Skipped,59,1,7,19,4,19,40,19,Skipped,40,4,Skipped,12,12,4,59,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,4,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,70,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,80,79,79,79,79,79,79,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,9,80,80,80,80,80,8,80,80,80,80,80,80,80,80,80,80,80,80,80,79,15,26,80,9,6,11,16,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,26,80,80,80,25,10,80,18,80,7,8,19,80,80,80,80,80,80,80,80,1,80,80,4,80,80,2,80,15,14,80,80,2,80,80,,
10,25,19,80,80,80,80,80,6,7,80,80,11,5,24,80,13,80,80,80,80,80,22,14,80,80,18,80,17,4,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,8,80,80,80,9,80,80,80,24,80,20,80,16,80,20,80,80,80,1,80,14,19,21,80,14,80,20,12,80,80,2,13,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,,
25,80,20,80,80,80,80,80,52,80,80,80,40,80,80,80,80,7,80,80,80,60,80,80,80,80,3,80,5,80,20,14,80,80,80,80,30,80,80,80,14,80,80,19,80,20,30,20,14,30,80,30,10,50,20,80,8,14,80,80,4,8,80,80,80,1,80,80,2,20,18,10,80,10,30,80,80,5,10,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,,
2,6,6,1,80,5,80,80,80,8,80,80,80,80,80,80,80,80,80,80,7,80,80,7,80,80,5,6,6,4,80,80,80,80,80,80,80,80,3,80,80,80,80,80,5,4,80,4,80,80,6,80,80,80,80,80,80,80,80,3,80,1,80,80,80,2,80,80,1,80,7,80,80,5,2,80,80,3,1,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,2,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,80,80,80,80,80,80,80,80,11,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,5,12,80,80,7,2,80,80,80,80,80,80,80,3,80,80,10,80,80,80,80,8,80,80,80,9,1,80,,
