Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
SP1712,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,CRAIG JENSEN,2,7
SP1713,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,skipped,skipped,skipped,2,7
SP1714,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,2,7
SP1715,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,2,7
SP1716,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,2,7
SP1717,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,2,7
SP1718,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,2,7
SP1719,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1720,DALE WATSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1721,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP1722,MICHAEL SNELSON,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,2,7
SP1723,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,2,7
SP1724,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,XIMENA M. BISHOP,2,7
SP1725,MARCIA CONOVER-HARRIS,DALE WATSON,XIMENA M. BISHOP,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,2,7
SP1726,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP1727,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,skipped,skipped,skipped,2,7
SP1728,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,MICHAEL SNELSON,2,7
SP1729,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP1730,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP1731,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP1732,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,CRAIG JENSEN,DALE WATSON,2,7
SP1733,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,CRAIG JENSEN,DALE WATSON,2,7
SP1734,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,MICHAEL SNELSON,2,7
SP1735,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP1736,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP1737,XIMENA M. BISHOP,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1738,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,skipped,skipped,2,7
SP1739,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,2,7
SP1740,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1741,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,skipped,skipped,skipped,2,7
SP1742,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP1743,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,2,7
SP1744,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,skipped,skipped,skipped,skipped,2,7
SP1745,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,2,7
SP1746,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1747,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1748,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1749,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1750,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1751,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP1752,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,skipped,skipped,2,7
SP1753,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,2,7
SP1754,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,2,7
SP1755,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP1756,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,2,7
SP1757,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,XIMENA M. BISHOP,2,7
SP1758,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,2,7
SP1759,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,CRAIG JENSEN,2,7
SP1760,DALE WATSON,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP1761,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1762,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,2,7
SP1763,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP1764,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,2,7
SP1765,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP1766,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP1767,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP1768,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP1769,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP1770,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,2,7
SP1771,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,MICHAEL SNELSON,DALE WATSON,2,7
SP1772,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP1773,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,2,7
SP1774,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP1775,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP1776,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,2,7
SP1777,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1778,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,2,7
SP1779,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1780,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP1781,AMANDA MILLER,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,2,7
SP1782,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP1783,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,CRAIG CONOVER,2,7
SP1784,DALE WATSON,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1785,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP1786,MICHAEL SNELSON,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP1787,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP1788,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP1789,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP1790,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,DALE WATSON,2,7
SP1791,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP1792,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP1793,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP1794,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP1795,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1796,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,2,7
SP1797,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1798,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1799,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,skipped,2,7
SP1800,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP1801,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,2,7
SP1802,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1803,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1804,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP1806,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,MICHAEL SNELSON,2,7
SP1807,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP1808,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,skipped,skipped,2,7
SP1809,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,2,7
SP1810,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP1811,DALE WATSON,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP1812,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,skipped,skipped,2,7
SP1813,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,DALE WATSON,2,7
SP1814,DALE WATSON,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP1815,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP1817,XIMENA M. BISHOP,CRAIG CONOVER,DALE WATSON,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP1818,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1819,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,2,7
SP1820,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1821,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP1823,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,2,7
SP1825,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1827,CRAIG CONOVER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP1828,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1829,CRAIG JENSEN,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,2,7
SP1830,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP1831,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP1832,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP1833,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,2,7
SP1834,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP1836,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1837,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP1838,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,2,7
SP1839,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,2,7
SP1840,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP1841,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1842,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP1843,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP1844,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,2,7
SP1845,XIMENA M. BISHOP,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP1847,MICHAEL SNELSON,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP1848,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP1849,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP1850,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1851,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,2,7
SP1852,XIMENA M. BISHOP,AMANDA MILLER,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG CONOVER,2,7
SP1853,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1854,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1855,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,2,7
SP1856,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,2,7
SP1857,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1858,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1859,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,XIMENA M. BISHOP,2,7
SP1860,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP1861,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,2,7
SP1862,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,2,7
SP1863,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP1864,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP1865,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,2,7
SP1866,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP1867,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1868,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP1869,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1870,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,skipped,skipped,skipped,skipped,2,7
SP1872,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,CRAIG JENSEN,2,7
SP1873,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,MICHAEL SNELSON,2,7
SP1874,XIMENA M. BISHOP,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,2,7
SP1875,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP1876,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1877,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,CRAIG CONOVER,2,7
SP1878,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP1879,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,2,7
SP1880,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP1881,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP1882,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,2,7
SP1883,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP1885,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP1887,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP1888,XIMENA M. BISHOP,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP1889,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
