rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,numSeats,numCands
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,6,4,33,33,2,33,12,33,3,5,33,33,10,11,33,33,33,33,33,1,8,33,33,33,33,33,9,7,,
33,16,Skipped,Skipped,33,6,5,33,15,2,20,12,33,3,4,33,18,8,11,14,19,33,13,33,1,9,33,17,Skipped,33,33,10,7,,
Skipped,Skipped,3,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,2,Skipped,3,Skipped,2,4,4,3,Skipped,4,1,3,Skipped,2,2,4,Skipped,Skipped,1,,
13,13,10,14,6,8,8,12,14,1,9,9,13,1,9,5,9,9,11,10,9,12,11,9,2,11,14,11,10,8,11,12,10,,
33,33,32,31,24,9,6,32,33,13,12,15,19,1,23,8,1,13,10,21,27,28,29,22,1,11,33,30,25,20,33,33,12,,
Skipped,10,Skipped,Skipped,4,5,4,Skipped,Skipped,3,7,9,6,1,5,6,8,7,Skipped,9,9,Skipped,6,4,2,6,Skipped,Skipped,Skipped,8,10,10,9,,
33,33,33,33,2,5,14,33,33,1,14,33,9,4,6,33,33,7,33,14,12,33,33,10,3,33,33,13,33,33,33,11,8,,
Skipped,Skipped,Skipped,Skipped,5,8,3,Skipped,5,5,Skipped,Skipped,Skipped,1,9,Skipped,Skipped,9,Skipped,6,Skipped,11,Skipped,7,2,4,Skipped,Skipped,Skipped,10,Skipped,4,Skipped,,
33,4,6,33,33,8,7,33,7,7,6,7,5,2,8,4,6,8,5,8,9,6,7,33,1,3,33,8,6,6,33,7,8,,
12,12,12,12,4,1,6,12,12,1,8,7,9,2,1,9,10,7,10,7,7,12,8,5,1,11,12,10,12,8,11,8,3,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,5,1,3,33,33,4,11,13,33,7,2,14,33,8,33,10,33,33,33,33,6,33,33,12,33,33,33,33,9,,
33,33,33,33,8,7,3,33,33,1,33,14,33,5,4,33,33,6,33,11,13,33,33,9,2,33,33,12,33,33,33,33,10,,
4,Skipped,4,4,2,3,2,Skipped,4,2,3,4,3,2,1,4,3,1,3,3,3,4,2,1,1,Skipped,Skipped,3,4,3,4,3,2,,
33,33,33,33,3,2,33,33,33,5,7,33,10,33,4,33,11,9,14,12,33,8,33,13,1,33,33,33,33,33,33,33,6,,
33,33,33,33,33,33,33,33,33,33,33,33,33,3,33,33,33,33,33,33,33,33,33,1,2,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,2,33,33,33,1,33,33,33,33,33,33,33,33,33,3,4,33,33,33,33,33,33,33,33,,
33,33,33,33,33,5,33,33,33,2,33,33,33,3,4,33,33,7,10,33,33,33,33,33,1,8,33,33,33,33,33,9,6,,
21,23,18,17,29,33,8,30,24,16,14,19,15,1,28,27,9,31,12,26,11,6,22,4,2,10,25,20,5,7,13,3,32,,
33,3,Skipped,Skipped,7,12,2,Skipped,Skipped,8,Skipped,Skipped,Skipped,11,6,Skipped,Skipped,5,32,Skipped,Skipped,Skipped,Skipped,Skipped,1,4,17,Skipped,Skipped,Skipped,Skipped,Skipped,10,,
Skipped,5,21,20,11,Skipped,17,Skipped,Skipped,19,Skipped,9,7,1,13,3,6,18,22,16,Skipped,10,Skipped,Skipped,2,4,24,12,8,14,Skipped,15,23,,
30,24,17,33,8,11,13,33,33,8,1,26,7,32,15,14,21,19,20,33,9,33,12,10,5,16,33,21,32,25,33,10,20,,
Skipped,13,Skipped,17,19,Skipped,10,Skipped,18,20,4,6,5,2,Skipped,8,12,Skipped,14,Skipped,21,16,Skipped,Skipped,1,3,Skipped,15,11,Skipped,Skipped,9,7,,
33,5,33,33,13,10,4,33,11,8,15,33,16,3,7,19,33,18,33,33,33,33,12,33,1,2,33,6,33,33,33,12,33,,
28,Skipped,22,33,33,Skipped,3,33,Skipped,10,6,6,10,2,14,20,11,17,8,20,23,13,5,Skipped,1,4,13,Skipped,9,10,Skipped,9,15,,
Skipped,21,Skipped,20,5,4,10,Skipped,Skipped,7,15,8,19,2,3,Skipped,Skipped,13,17,12,14,11,Skipped,9,1,Skipped,Skipped,16,Skipped,Skipped,Skipped,18,6,,
33,4,33,33,33,33,33,33,33,3,33,33,33,2,33,33,33,33,33,33,33,33,33,33,5,1,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,3,33,33,33,33,33,33,33,33,33,1,2,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,29,26,28,18,Skipped,33,27,8,14,12,2,31,Skipped,6,7,13,30,33,10,Skipped,26,1,Skipped,Skipped,Skipped,4,3,11,9,33,,
Skipped,6,Skipped,Skipped,8,7,5,Skipped,15,Skipped,Skipped,14,Skipped,1,9,4,10,Skipped,15,12,Skipped,Skipped,Skipped,12,2,3,Skipped,13,15,Skipped,Skipped,11,12,,
17,23,14,20,5,11,29,Skipped,Skipped,2,4,28,24,18,12,15,8,3,26,22,21,10,30,16,1,9,Skipped,19,6,7,27,25,13,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,1,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,31,1,5,10,Skipped,Skipped,1,8,15,Skipped,10,1,Skipped,20,5,12,15,10,30,10,10,1,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,10,,
Skipped,Skipped,Skipped,Skipped,7,10,8,Skipped,Skipped,5,6,Skipped,Skipped,1,9,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
33,33,33,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,12,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,Skipped,5,26,Skipped,2,9,Skipped,10,8,27,28,31,Skipped,3,25,1,4,9,33,29,32,Skipped,Skipped,11,,
33,13,5,33,33,4,6,33,33,9,33,33,33,11,3,33,33,8,14,33,33,12,2,33,1,7,33,33,33,14,33,33,33,,
Skipped,11,Skipped,Skipped,7,9,5,Skipped,Skipped,3,23,Skipped,22,2,4,13,18,6,17,16,10,21,Skipped,14,1,12,Skipped,Skipped,19,20,Skipped,15,8,,
26,18,22,21,5,4,3,29,31,6,15,20,20,2,3,24,13,11,19,9,10,12,14,8,1,24,18,25,27,16,32,17,7,,
32,9,18,10,Skipped,Skipped,3,Skipped,13,Skipped,16,15,4,2,Skipped,7,Skipped,Skipped,17,23,14,33,12,22,1,5,21,20,6,11,31,8,19,,
33,33,33,33,4,33,4,33,33,4,3,33,33,2,5,3,33,4,33,33,5,33,33,33,1,33,33,33,33,33,33,33,33,,
Skipped,4,Skipped,Skipped,1,1,1,Skipped,Skipped,1,Skipped,3,3,2,1,Skipped,Skipped,2,Skipped,2,2,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,,
33,3,33,33,5,33,13,33,33,5,33,33,11,3,4,33,12,7,33,33,2,33,33,33,6,1,33,33,19,17,33,33,9,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,4,5,33,6,1,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,,
33,33,33,33,3,33,33,33,33,33,2,33,33,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,9,33,33,3,6,1,33,33,1,33,33,10,5,4,33,13,8,33,33,12,33,33,33,2,33,33,14,33,33,33,33,7,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
32,21,14,29,17,20,8,15,33,26,7,16,5,2,11,22,13,27,3,18,9,12,4,25,1,24,28,30,10,23,31,6,19,,
Skipped,Skipped,Skipped,Skipped,6,7,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,8,3,Skipped,Skipped,9,Skipped,14,10,Skipped,13,5,2,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,11,,
33,33,33,33,33,7,33,33,33,33,3,33,6,2,33,8,33,33,33,33,33,33,33,33,1,5,33,33,33,4,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,19,33,33,33,33,33,33,21,33,24,1,33,33,1,33,33,5,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,2,3,2,Skipped,Skipped,1,17,5,Skipped,3,2,Skipped,Skipped,4,Skipped,5,4,Skipped,Skipped,4,3,Skipped,Skipped,6,Skipped,Skipped,17,Skipped,4,,
33,33,33,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
Skipped,Skipped,Skipped,Skipped,3,2,2,Skipped,Skipped,1,2,9,4,2,3,8,6,2,6,3,7,7,6,10,1,Skipped,Skipped,Skipped,Skipped,5,10,5,3,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,33,33,33,33,3,33,33,33,33,33,33,1,33,33,1,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,,
33,33,6,33,33,33,33,33,33,33,11,33,9,33,33,33,7,33,3,33,33,8,5,33,1,2,33,33,33,4,33,10,33,,
31,15,25,33,26,33,33,12,33,27,5,33,33,2,30,33,27,23,33,26,33,24,33,27,1,4,15,33,3,10,33,16,14,,
33,33,33,33,2,33,33,33,33,33,3,33,33,2,2,33,33,3,33,33,33,33,33,33,1,33,33,33,33,33,3,33,33,,
26,12,18,22,15,20,7,23,32,11,13,8,5,2,14,7,27,24,25,10,9,28,31,19,1,3,29,21,17,16,30,4,6,,
33,4,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,5,33,33,33,33,33,33,33,,
28,18,21,26,30,32,21,Skipped,14,17,32,8,32,1,24,20,12,31,10,22,21,14,Skipped,24,3,7,32,28,24,10,32,22,32,,
33,1,33,33,33,33,33,33,33,33,33,33,33,3,33,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,33,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
33,33,31,33,3,33,33,33,29,5,3,33,33,2,33,17,28,33,33,33,33,33,33,24,1,31,33,33,33,33,33,33,33,,
22,8,19,24,10,24,4,24,24,3,7,24,9,2,15,20,13,24,18,11,23,14,24,24,1,12,9,24,21,5,16,6,17,,
33,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33,33,33,33,33,33,33,33,2,3,33,33,33,33,33,33,33,,
33,3,33,33,33,33,7,33,33,33,6,33,33,2,33,33,33,33,33,33,33,33,33,1,4,33,33,33,33,8,33,33,5,,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,
