rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,48,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,7,Skipped,4,Skipped,Skipped,,
18,32,Skipped,10,16,Skipped,30,28,21,15,17,36,40,34,33,22,45,23,3,26,29,34,20,24,13,14,Skipped,47,7,Skipped,Skipped,3,19,2,6,43,Skipped,25,9,48,41,9,Skipped,31,40,11,37,8,,
Skipped,9,7,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,4,6,8,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,7,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
2,Skipped,Skipped,Skipped,9,Skipped,12,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,21,7,1,Skipped,20,Skipped,Skipped,Skipped,Skipped,10,Skipped,15,11,Skipped,Skipped,14,16,8,3,13,Skipped,18,Skipped,Skipped,Skipped,6,Skipped,Skipped,19,4,Skipped,Skipped,,
5,Skipped,Skipped,14,12,Skipped,32,2,11,20,Skipped,Skipped,45,Skipped,Skipped,37,48,6,1,Skipped,Skipped,10,Skipped,14,Skipped,13,Skipped,26,8,Skipped,Skipped,12,9,13,4,12,Skipped,3,Skipped,Skipped,Skipped,14,Skipped,14,40,7,Skipped,Skipped,,
7,Skipped,Skipped,Skipped,Skipped,Skipped,4,8,Skipped,Skipped,Skipped,10,39,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,25,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,,
3,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,7,Skipped,10,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,9,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,4,3,7,Skipped,Skipped,13,9,13,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,5,13,Skipped,Skipped,13,13,Skipped,Skipped,2,Skipped,10,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,6,Skipped,Skipped,,
1,15,Skipped,5,21,Skipped,2,19,3,Skipped,25,Skipped,27,Skipped,Skipped,16,26,11,34,17,24,32,31,Skipped,14,12,30,8,33,Skipped,28,18,7,Skipped,9,22,Skipped,13,Skipped,Skipped,29,6,4,20,23,10,Skipped,Skipped,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
17,Skipped,Skipped,32,36,Skipped,9,13,18,Skipped,15,Skipped,15,Skipped,Skipped,19,Skipped,3,19,Skipped,23,Skipped,Skipped,Skipped,Skipped,22,Skipped,40,24,Skipped,Skipped,14,9,Skipped,10,Skipped,Skipped,35,28,Skipped,21,5,16,20,25,7,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,35,Skipped,2,12,Skipped,48,Skipped,Skipped,Skipped,48,Skipped,26,Skipped,18,47,Skipped,2,Skipped,Skipped,Skipped,8,4,Skipped,Skipped,48,Skipped,Skipped,Skipped,34,Skipped,10,Skipped,Skipped,30,Skipped,48,Skipped,1,Skipped,Skipped,5,3,38,48,,
22,10,13,6,36,27,7,38,33,43,26,35,3,44,25,14,17,32,46,4,2,42,9,31,20,28,15,18,45,39,40,19,12,37,30,16,34,41,23,48,1,24,5,8,11,29,21,47,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,10,Skipped,5,Skipped,Skipped,9,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,2,3,Skipped,,
Skipped,Skipped,Skipped,Skipped,48,Skipped,48,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,48,48,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,48,Skipped,Skipped,Skipped,48,47,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,35,2,34,26,8,4,17,26,48,26,42,15,47,18,3,26,19,32,14,9,32,26,42,1,25,35,36,26,38,23,16,5,42,13,36,20,26,37,47,26,11,26,26,7,6,12,47,,
11,38,Skipped,2,19,Skipped,4,46,6,Skipped,9,Skipped,13,31,Skipped,35,43,22,16,20,44,32,Skipped,Skipped,Skipped,45,3,24,29,Skipped,Skipped,47,42,Skipped,12,41,Skipped,8,Skipped,Skipped,Skipped,7,1,27,48,5,10,Skipped,,
Skipped,Skipped,12,11,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,4,Skipped,9,5,Skipped,Skipped,Skipped,Skipped,10,3,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
16,30,36,3,24,39,9,21,6,43,26,41,14,43,33,15,31,8,22,20,10,47,34,17,29,7,29,32,45,44,25,11,5,35,2,28,40,13,37,48,12,4,19,23,18,1,38,46,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,12,Skipped,8,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,15,Skipped,Skipped,Skipped,9,13,Skipped,Skipped,Skipped,Skipped,Skipped,11,6,Skipped,3,Skipped,Skipped,4,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,8,Skipped,Skipped,,
9,Skipped,22,Skipped,10,Skipped,5,3,7,Skipped,Skipped,23,18,Skipped,Skipped,8,24,17,13,Skipped,4,Skipped,Skipped,Skipped,Skipped,6,Skipped,29,28,Skipped,25,26,16,Skipped,2,15,Skipped,11,21,Skipped,20,1,Skipped,19,27,12,14,Skipped,,
Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,10,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,7,6,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,8,18,14,Skipped,Skipped,12,Skipped,Skipped,13,Skipped,6,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,21,Skipped,9,Skipped,Skipped,Skipped,16,15,Skipped,2,4,Skipped,1,Skipped,Skipped,7,11,Skipped,17,19,5,Skipped,Skipped,,
11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,10,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,6,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
9,5,Skipped,3,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,7,Skipped,3,8,8,Skipped,Skipped,,
6,Skipped,Skipped,Skipped,19,36,3,11,15,28,37,22,26,Skipped,31,5,32,1,14,23,4,Skipped,32,24,Skipped,12,Skipped,20,21,Skipped,34,8,18,Skipped,9,10,38,13,16,Skipped,27,2,33,29,17,7,25,35,,
6,48,47,47,47,47,47,4,47,7,47,47,47,47,47,47,47,5,9,47,47,47,47,47,47,8,47,47,47,47,47,47,47,47,2,47,47,1,47,11,47,47,47,47,47,3,47,10,,
4,Skipped,Skipped,Skipped,20,Skipped,16,28,16,Skipped,20,17,Skipped,Skipped,23,5,27,9,48,Skipped,1,Skipped,Skipped,19,Skipped,16,Skipped,2,47,Skipped,21,12,4,Skipped,7,25,16,22,10,Skipped,18,6,20,20,11,8,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,13,Skipped,21,Skipped,Skipped,12,Skipped,Skipped,Skipped,5,Skipped,22,Skipped,3,1,Skipped,20,Skipped,Skipped,Skipped,14,15,Skipped,23,2,Skipped,Skipped,9,16,Skipped,7,19,Skipped,4,Skipped,42,Skipped,6,Skipped,Skipped,Skipped,10,18,8,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
7,Skipped,Skipped,8,17,Skipped,12,13,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,19,Skipped,15,Skipped,Skipped,Skipped,Skipped,18,Skipped,21,20,Skipped,Skipped,6,14,Skipped,10,16,Skipped,11,Skipped,Skipped,Skipped,1,8,Skipped,22,4,Skipped,Skipped,,
4,Skipped,Skipped,Skipped,Skipped,Skipped,2,12,Skipped,48,Skipped,Skipped,8,48,10,4,15,3,46,6,Skipped,45,Skipped,Skipped,Skipped,Skipped,Skipped,8,47,Skipped,8,8,10,Skipped,Skipped,11,11,45,Skipped,Skipped,Skipped,8,Skipped,Skipped,9,8,1,48,,
8,Skipped,39,13,16,Skipped,4,19,31,12,Skipped,Skipped,Skipped,15,Skipped,11,31,26,5,23,3,20,34,29,22,31,Skipped,17,48,Skipped,41,9,2,Skipped,7,21,Skipped,1,41,48,40,6,Skipped,14,18,10,12,37,,
2,33,Skipped,35,22,27,5,8,1,Skipped,31,Skipped,18,Skipped,19,4,29,11,10,Skipped,20,21,28,Skipped,16,9,30,25,12,Skipped,26,6,14,Skipped,7,23,32,36,Skipped,Skipped,17,3,13,24,34,15,Skipped,Skipped,,
4,21,28,24,Skipped,26,12,9,8,Skipped,Skipped,Skipped,22,Skipped,Skipped,Skipped,Skipped,30,14,9,2,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,7,Skipped,18,18,Skipped,Skipped,19,5,10,17,Skipped,Skipped,25,Skipped,,
10,Skipped,Skipped,11,Skipped,Skipped,Skipped,3,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,4,8,Skipped,Skipped,Skipped,Skipped,Skipped,7,5,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,1,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
20,Skipped,7,Skipped,30,Skipped,8,9,4,30,Skipped,Skipped,16,35,Skipped,15,Skipped,16,45,Skipped,10,35,18,39,48,31,Skipped,1,45,Skipped,Skipped,40,15,Skipped,16,13,Skipped,12,17,47,9,2,Skipped,Skipped,30,5,Skipped,48,,
3,8,15,9,13,Skipped,2,5,3,8,Skipped,19,5,12,Skipped,2,7,30,47,7,4,19,Skipped,19,4,8,Skipped,14,18,Skipped,Skipped,4,8,10,3,2,Skipped,3,30,44,46,3,5,6,4,10,11,48,,
13,Skipped,Skipped,10,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,12,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,3,Skipped,Skipped,5,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,8,4,Skipped,Skipped,,
8,Skipped,Skipped,Skipped,Skipped,16,1,1,11,Skipped,10,9,Skipped,Skipped,Skipped,13,Skipped,4,12,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,14,17,Skipped,3,Skipped,Skipped,5,15,Skipped,Skipped,2,Skipped,Skipped,Skipped,6,Skipped,Skipped,,
14,Skipped,Skipped,15,Skipped,Skipped,9,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,13,12,1,Skipped,Skipped,18,Skipped,Skipped,Skipped,8,16,Skipped,10,Skipped,Skipped,Skipped,7,17,Skipped,3,6,Skipped,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,11,5,20,Skipped,,
?,?,?,?,8,?,12,5,?,?,?,?,?,?,?,1,?,2,3,?,9,?,?,?,?,?,?,?,?,?,?,15,13,?,7,10,?,11,?,?,?,4,?,?,14,6,?,?,,
