rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
3,Skipped,Skipped,5,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,,
2,5,Skipped,7,Skipped,Skipped,Skipped,3,4,Skipped,6,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,2,12,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,3,4,Skipped,5,Skipped,Skipped,1,Skipped,2,Skipped,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
10,5,12,1,8,11,2,12,4,6,8,3,,
11,8,6,8,9,4,5,3,2,1,12,10,,
1,3,4,10,12,2,8,6,11,7,9,5,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,9,11,2,3,10,8,5,6,1,7,4,,
Skipped,12,1,12,12,12,12,Skipped,12,12,12,12,,
6,3,10,2,11,1,8,4,12,7,5,9,,
10,2,11,4,1,12,9,3,8,7,6,5,,
12,2,3,12,12,12,12,12,12,1,12,12,,
12,12,12,12,1,12,12,12,12,12,12,12,,
Skipped,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,1,,
Skipped,4,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,,
6,5,2,12,1,12,12,9,8,4,7,3,,
8,1,3,7,6,12,11,9,10,2,4,5,,
