rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,18,18,18,18,18,2,18,18,18,18,18,18,18,18,18,1,18,,
11,9,15,17,10,16,3,14,13,18,1,7,8,5,4,2,12,6,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
5,2,3,Skipped,8,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,4,1,Skipped,,
3,2,18,18,1,7,4,18,18,8,18,18,18,5,18,6,18,18,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,2,4,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,1,2,18,5,8,18,18,10,18,18,,
18,8,1,6,2,18,4,18,9,7,18,18,18,18,3,18,18,5,,
18,18,1,18,18,18,2,18,18,18,18,18,18,18,18,18,18,18,,
18,2,6,18,18,18,1,3,18,18,18,4,18,18,5,18,18,18,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,,
13,3,18,8,6,5,7,18,18,9,11,12,4,2,10,1,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
6,3,3,11,2,1,9,2,2,17,17,2,3,3,7,2,18,2,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,2,18,,
18,18,1,18,17,18,16,18,18,4,18,18,18,18,18,3,2,18,,
7,3,14,2,12,8,11,17,10,18,9,15,4,5,6,1,13,16,,
18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,,
18,18,18,4,18,18,18,18,1,18,2,18,3,18,5,6,18,18,,
18,6,18,18,18,18,1,18,3,2,18,5,9,7,8,4,18,18,,
11,10,10,10,8,13,16,14,15,11,12,13,4,1,6,18,17,3,,
Skipped,Skipped,Skipped,4,Skipped,Skipped,17,Skipped,Skipped,1,18,Skipped,2,5,3,6,Skipped,Skipped,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
6,6,6,6,18,6,3,6,6,6,2,6,6,6,4,5,1,6,,
3,14,13,5,12,4,16,9,8,10,7,6,15,1,11,18,17,2,,
Skipped,10,2,Skipped,9,Skipped,4,Skipped,8,Skipped,1,Skipped,6,4,4,Skipped,4,Skipped,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,14,11,7,15,8,18,12,4,1,18,13,2,3,10,6,9,5,,
14,4,18,13,15,1,5,18,11,8,12,9,6,2,18,3,11,6,,
18,4,2,18,6,3,7,18,18,18,18,18,18,18,18,5,1,18,,
12,12,13,12,12,12,12,12,12,12,12,12,12,9,13,18,12,12,,
18,18,18,18,1,18,1,18,18,18,18,18,18,18,3,18,18,18,,
18,2,5,18,18,18,18,3,18,18,18,18,18,18,1,18,4,18,,
18,18,18,18,2,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,7,3,Skipped,5,Skipped,8,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,4,6,Skipped,,
Skipped,6,4,Skipped,Skipped,Skipped,3,7,Skipped,Skipped,1,Skipped,8,Skipped,Skipped,5,2,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
4,11,1,18,13,17,6,2,5,15,12,16,14,10,7,3,8,9,,
18,18,5,18,6,18,4,18,18,3,18,2,18,18,18,18,1,18,,
18,18,2,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
4,6,6,13,15,13,12,6,6,6,16,6,6,1,9,18,17,6,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,11,Skipped,6,13,4,2,7,12,5,Skipped,1,Skipped,3,8,9,10,Skipped,,
8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,18,8,8,,
18,18,18,18,2,18,1,18,18,18,18,18,3,18,3,18,18,18,,
16,18,16,16,16,17,16,16,11,16,1,16,10,14,12,13,15,16,,
18,3,7,18,2,18,1,18,18,6,18,18,4,18,5,17,13,14,,
18,18,3,18,18,18,18,18,18,18,18,18,4,18,5,18,1,18,,
5,13,10,15,6,10,16,3,10,10,12,1,2,11,17,14,18,4,,
Skipped,2,Skipped,Skipped,3,8,4,Skipped,Skipped,Skipped,6,Skipped,Skipped,5,Skipped,9,1,6,,
18,18,3,18,2,18,1,18,18,18,18,18,18,18,18,4,18,18,,
18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,2,18,18,1,18,18,,
Skipped,7,3,Skipped,4,11,2,Skipped,Skipped,10,9,Skipped,8,6,Skipped,5,1,Skipped,,
8,18,13,14,6,7,1,12,11,15,9,17,5,10,3,4,2,16,,
18,18,1,18,18,18,4,2,18,18,18,3,7,5,8,6,18,18,,
8,6,2,8,3,8,4,1,8,8,8,8,8,8,5,8,7,8,,
18,10,6,2,18,1,18,18,18,5,3,18,9,18,8,7,11,4,,
18,17,1,10,5,9,3,4,8,6,12,16,15,14,11,13,2,7,,
8,18,7,15,3,Skipped,10,Skipped,6,5,Skipped,11,4,16,9,1,2,17,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,2,18,1,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,1,1,18,18,18,18,18,18,18,18,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,6,Skipped,Skipped,2,4,Skipped,Skipped,,
13,6,1,3,8,18,9,18,18,12,10,11,7,18,4,5,2,18,,
5,13,15,10,13,12,16,4,3,12,11,10,14,1,13,18,17,2,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,4,3,18,18,6,18,18,18,18,18,1,18,2,5,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,18,3,11,4,8,2,18,18,5,18,9,18,7,10,6,1,18,,
18,18,18,18,18,18,2,18,18,18,1,18,18,18,18,18,18,18,,
Skipped,Skipped,18,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,8,4,16,6,11,4,14,13,12,14,9,3,1,2,18,17,16,,
8,9,16,14,7,13,17,6,2,3,1,4,5,11,15,12,18,10,,
18,18,4,18,18,18,2,18,18,18,1,18,3,18,18,18,18,18,,
2,18,5,18,18,18,18,18,18,18,18,18,18,18,18,3,1,4,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,2,18,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,5,2,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,8,7,4,6,1,Skipped,,
8,10,18,9,15,2,16,14,12,3,17,13,4,7,5,1,6,11,,
17,15,16,6,14,14,3,9,10,7,1,8,5,11,2,14,10,18,,
18,18,1,18,18,18,3,18,18,18,18,18,18,18,18,18,2,18,,
18,18,18,18,18,18,18,1,18,18,18,18,18,18,2,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,1,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,3,Skipped,4,Skipped,18,Skipped,Skipped,Skipped,2,Skipped,1,17,Skipped,Skipped,,
18,18,18,3,2,15,1,18,18,18,18,18,17,18,4,5,16,18,,
12,10,3,8,7,13,2,6,17,11,14,15,5,16,4,9,1,18,,
18,18,2,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
Skipped,2,5,Skipped,3,8,4,15,14,12,Skipped,Skipped,10,7,9,6,1,13,,
18,18,5,18,18,18,18,18,18,18,18,3,18,18,2,4,1,18,,
1,5,18,18,18,18,18,18,3,18,18,18,18,2,18,4,18,18,,
18,18,3,18,4,18,2,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,6,Skipped,1,5,2,Skipped,3,Skipped,Skipped,3,4,Skipped,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,,
18,9,18,18,4,1,3,18,18,8,18,5,18,18,7,6,2,18,,
18,9,1,5,7,10,6,15,12,14,11,10,8,15,1,2,3,16,,
6,5,2,Skipped,Skipped,Skipped,8,Skipped,7,10,Skipped,Skipped,9,3,Skipped,4,1,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,18,1,18,,
18,18,5,8,7,18,3,2,18,18,18,6,4,18,1,18,18,18,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,2,Skipped,Skipped,1,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,5,18,7,18,4,18,18,18,18,18,18,6,8,3,2,1,,
4,18,1,18,18,18,18,18,18,18,18,18,18,18,2,18,3,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
Skipped,Skipped,1,Skipped,7,Skipped,3,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,4,5,2,Skipped,,
2,5,3,7,Skipped,6,13,Skipped,Skipped,8,10,11,12,4,9,1,Skipped,Skipped,,
18,18,18,18,18,3,18,18,18,18,18,18,2,18,18,1,18,18,,
13,12,9,16,5,11,16,9,8,11,12,12,2,1,3,18,17,6,,
8,12,15,8,13,11,16,9,9,12,11,10,14,1,12,18,17,4,,
9,9,9,9,4,1,5,9,2,9,3,9,9,8,9,6,7,9,,
12,2,1,4,7,10,18,13,8,6,11,3,16,5,15,17,14,9,,
6,14,15,4,15,15,15,15,15,15,15,14,14,1,14,18,17,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,1,2,3,Skipped,Skipped,3,Skipped,,
7,17,7,7,7,7,7,7,7,17,6,17,17,1,7,18,7,17,,
15,8,10,18,15,15,15,8,11,8,2,9,1,8,18,16,8,8,,
8,5,7,3,1,16,4,14,13,12,17,9,10,11,18,15,6,2,,
12,3,15,5,12,12,4,12,12,13,7,17,14,2,16,1,6,18,,
18,12,8,14,3,2,9,18,4,6,1,18,5,18,10,7,3,11,,
11,13,10,16,3,15,4,5,14,6,7,12,1,9,8,2,10,18,,
17,6,17,4,18,17,2,17,17,17,17,17,1,17,17,5,3,17,,
18,18,18,18,18,18,18,18,1,18,2,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,1,18,3,18,18,18,2,18,18,18,18,4,5,18,,
Skipped,8,6,2,5,10,1,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,3,4,7,Skipped,,
3,5,2,18,11,Skipped,6,8,18,7,18,10,17,15,Skipped,9,Skipped,16,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,1,18,18,18,3,18,18,18,18,18,18,18,18,18,2,18,,
18,18,18,18,2,18,3,18,5,4,18,1,18,18,18,18,18,18,,
18,18,18,2,18,18,1,8,18,6,18,18,18,5,4,3,7,18,,
11,18,7,18,1,18,1,18,12,18,18,18,18,8,9,2,3,12,,
1,2,18,2,13,15,16,10,9,7,17,1,3,8,18,12,6,4,,
17,8,13,17,7,14,15,12,11,10,16,9,6,4,5,18,17,4,,
1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
14,13,1,6,7,14,2,9,8,16,18,3,4,12,5,17,11,10,,
18,18,1,4,2,18,3,8,18,18,18,18,18,18,6,5,7,18,,
Skipped,18,9,14,6,Skipped,8,Skipped,2,10,1,Skipped,2,Skipped,Skipped,2,5,Skipped,,
18,18,18,3,18,18,18,18,1,18,18,18,18,18,18,2,18,18,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,1,Skipped,,
18,3,18,18,8,18,1,18,18,18,18,11,18,18,18,9,10,18,,
16,16,1,16,16,16,16,16,16,16,6,16,16,5,4,3,2,18,,
18,10,9,6,7,8,5,15,18,13,14,12,1,18,2,3,4,11,,
7,Skipped,Skipped,Skipped,4,2,3,Skipped,Skipped,9,Skipped,Skipped,Skipped,6,8,5,1,Skipped,,
1,6,8,5,16,7,12,15,14,18,13,11,10,3,9,2,4,18,,
3,6,17,17,17,17,17,17,17,17,17,17,17,2,1,4,5,17,,
4,14,12,5,11,6,17,8,3,9,10,7,13,1,15,18,16,2,,
12,12,16,12,5,13,16,12,12,12,12,12,4,2,3,18,17,8,,
18,18,18,18,18,18,18,18,18,18,18,18,18,2,18,1,18,18,,
7,11,15,9,14,9,16,8,8,10,10,10,13,1,12,18,17,6,,
18,5,3,9,18,18,8,2,18,6,18,18,4,18,7,18,1,18,,
2,3,18,18,18,18,18,18,18,18,18,18,18,18,18,4,1,18,,
6,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,5,1,2,,
Skipped,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,,
18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,,
14,14,17,14,4,15,16,14,14,14,15,14,2,1,3,18,17,13,,
12,14,8,11,4,14,16,14,6,14,14,14,3,1,2,18,17,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,4,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
Skipped,10,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,18,1,Skipped,2,Skipped,3,4,18,Skipped,,
18,7,2,9,3,18,4,18,18,18,1,5,7,12,6,10,18,11,,
5,16,13,4,11,7,14,10,3,8,6,9,12,1,17,18,15,2,,
Skipped,4,Skipped,Skipped,5,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,6,3,Skipped,1,Skipped,,
18,18,18,18,18,18,18,18,6,1,2,18,5,4,18,3,18,18,,
18,18,18,18,18,18,18,18,4,1,18,2,5,6,18,3,18,18,,
18,9,18,8,2,18,1,18,18,7,18,3,6,18,5,18,4,18,,
14,16,15,14,15,14,17,14,14,15,14,14,16,1,16,18,17,14,,
Skipped,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,3,,
17,1,14,18,2,18,18,Skipped,18,18,18,18,15,18,16,18,16,18,,
Skipped,Skipped,Skipped,4,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,7,Skipped,,
13,15,15,13,16,13,16,14,14,14,14,15,15,1,15,18,17,14,,
18,1,18,18,18,18,2,18,18,18,18,18,18,3,18,18,18,18,,
1,2,18,18,18,18,18,18,18,18,18,18,18,3,5,4,18,18,,
18,18,18,18,18,18,2,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,18,18,18,1,18,18,18,Skipped,15,10,6,18,3,18,2,,
18,18,2,18,4,18,5,18,18,18,18,18,18,18,3,1,6,18,,
18,10,1,18,11,18,18,3,10,2,18,7,4,10,6,18,5,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
18,18,18,18,18,3,18,18,18,18,18,18,18,1,18,2,4,18,,
18,18,18,18,18,18,18,18,18,2,18,5,1,18,3,4,18,18,,
18,18,18,18,18,18,3,18,18,18,18,18,4,18,5,2,1,18,,
18,3,4,5,18,18,18,18,18,6,18,18,18,7,9,18,2,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,13,15,18,1,18,2,18,18,18,18,17,18,18,14,18,16,18,,
3,18,18,18,18,18,18,18,18,18,18,18,4,2,4,1,18,5,,
Skipped,10,Skipped,5,6,7,2,Skipped,8,9,Skipped,Skipped,3,12,4,1,11,Skipped,,
Skipped,Skipped,5,Skipped,Skipped,Skipped,8,7,Skipped,1,Skipped,6,4,Skipped,3,Skipped,2,Skipped,,
18,12,14,18,13,18,16,18,6,9,10,7,8,1,11,17,15,18,,
16,9,18,4,2,17,16,8,6,3,16,1,7,16,5,16,16,16,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,2,18,,
3,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,1,Skipped,Skipped,,
9,2,Skipped,Skipped,1,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,7,8,Skipped,,
Skipped,10,8,2,7,9,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,6,4,,
1,2,18,18,18,18,3,18,18,18,18,18,18,18,18,18,18,18,,
10,6,5,10,5,10,11,10,10,7,10,6,4,1,4,18,10,18,,
18,2,18,13,17,1,18,14,9,9,7,1,5,1,3,18,1,1,,
Skipped,4,Skipped,Skipped,7,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,6,Skipped,3,Skipped,18,Skipped,,
12,18,13,11,2,10,17,9,14,8,3,4,6,15,7,16,1,5,,
4,2,18,18,1,18,18,18,18,18,18,3,18,18,18,18,18,18,,
Skipped,6,Skipped,Skipped,3,18,1,Skipped,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
18,18,3,18,18,18,2,18,18,18,18,18,18,18,18,18,1,18,,
18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,18,,
Skipped,10,1,9,5,8,6,7,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,4,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,,
18,18,18,18,5,18,2,18,18,18,4,18,3,18,18,6,1,18,,
18,18,18,18,18,18,17,18,18,18,18,18,18,1,18,18,17,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,3,18,18,18,1,18,18,18,18,2,18,4,5,18,18,,
18,3,2,18,1,18,4,18,18,18,18,18,18,18,18,18,5,18,,
18,18,18,18,1,18,18,6,18,18,18,18,18,18,2,18,18,18,,
18,18,18,18,1,5,2,18,18,7,18,18,6,18,4,3,18,18,,
11,9,12,5,13,14,15,6,17,4,10,3,1,8,2,7,18,14,,
18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,18,1,18,2,18,18,18,18,18,18,18,3,18,18,18,18,18,,
18,18,3,18,2,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,5,Skipped,7,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,,
5,9,12,4,8,14,15,12,12,11,16,10,7,4,6,18,17,5,,
Skipped,8,Skipped,6,3,Skipped,2,13,12,1,Skipped,7,4,10,5,11,9,Skipped,,
18,18,18,18,18,18,18,18,2,18,1,18,18,18,18,18,18,18,,
18,18,2,18,18,1,18,3,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
1,3,7,18,4,10,8,18,12,18,18,18,9,6,13,2,5,11,,
13,13,13,13,13,14,13,13,13,13,13,13,13,5,13,18,14,13,,
5,18,4,9,18,3,2,18,18,17,1,18,6,18,18,8,18,18,,
17,9,4,18,6,13,14,7,3,1,12,11,5,10,8,2,15,16,,
4,11,14,3,12,5,16,7,6,9,10,8,15,1,13,18,17,2,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,,
Skipped,Skipped,Skipped,7,Skipped,5,Skipped,Skipped,Skipped,8,Skipped,Skipped,2,3,1,4,6,Skipped,,
18,18,14,18,18,18,15,18,11,18,18,13,12,1,18,17,16,18,,
18,18,1,18,18,18,18,3,18,18,18,18,18,18,18,18,2,18,,
18,18,18,7,3,4,5,18,18,18,6,18,1,18,2,18,18,18,,
18,18,18,18,2,18,1,3,18,18,18,18,18,18,18,18,18,18,,
18,18,1,18,18,18,18,10,18,18,18,18,18,18,18,18,18,18,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,Skipped,Skipped,,
16,16,16,15,16,16,16,15,16,16,16,16,16,1,16,18,17,15,,
18,4,3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
14,3,7,12,4,17,15,6,5,8,9,2,11,1,13,18,16,10,,
17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,18,17,17,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
18,3,1,7,2,7,6,18,18,5,18,18,4,18,18,18,9,10,,
Skipped,10,4,Skipped,1,7,Skipped,5,Skipped,Skipped,9,Skipped,2,Skipped,6,8,3,Skipped,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,2,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,5,1,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,3,7,Skipped,,
18,18,18,18,18,18,18,18,18,18,1,18,2,18,18,18,18,18,,
5,18,18,18,8,4,3,18,18,18,18,18,6,7,18,1,2,18,,
7,18,18,18,2,18,1,18,6,18,18,18,18,8,4,3,5,18,,
18,18,2,4,18,18,18,18,18,18,18,18,6,18,3,5,1,18,,
11,4,3,2,8,1,7,Skipped,Skipped,12,13,Skipped,Skipped,10,Skipped,5,6,9,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,5,18,2,18,4,18,18,6,18,18,18,18,18,18,1,18,,
Skipped,Skipped,4,10,3,Skipped,2,Skipped,8,Skipped,11,5,7,Skipped,9,6,1,Skipped,,
18,2,16,18,1,18,18,18,18,4,18,18,18,3,18,18,18,18,,
